"date_litter","stage","weight","species","confidence"
"12/06/20","12.25",225,"ham","medium"
"12/06/20","12.25",237,"ham","medium"
"12/06/20","12.25",226,"ham","medium"
"12/06/20","12.25",264,"ham","medium"
"12/06/20","12.25",274,"ham","medium"
"12/06/20","12.25",307,"ham","medium"
"12/06/20","12.25",307,"ham","medium"
"12/06/20","12.25",308,"ham","medium"
"12/06/20","12.25",313,"ham","medium"
"12/06/20","12.25",334,"ham","medium"
"12/06/20","12.25",335,"ham","medium"
"12/06/20","12.25",392,"ham","medium"
"18/06/20","12.25",170,"ham","medium"
"18/06/20","12.25",223,"ham","medium"
"18/06/20","12.25",245,"ham","medium"
"18/06/20","12.25",245,"ham","medium"
"18/06/20","12.25",246,"ham","medium"
"18/06/20","12.25",263,"ham","medium"
"18/06/20","12.25",281,"ham","medium"
"18/06/20","12.25",287,"ham","medium"
"18/06/20","12.25",298,"ham","medium"
"18/06/20","12.25",303,"ham","medium"
"18/06/20","12.25",310,"ham","medium"
"18/06/20","12.25",337,"ham","medium"
"19/08/20","12.25",266,"ham","medium"
"19/08/20","12.25",278,"ham","medium"
"19/08/20","12.25",300,"ham","medium"
"19/08/20","12.25",306,"ham","medium"
"19/08/20","12.25",309,"ham","medium"
"19/08/20","12.25",350,"ham","medium"
"19/08/20","12.25",363,"ham","medium"
"19/08/20","12.25",366,"ham","medium"
"19/08/20","12.25",375,"ham","medium"
"19/08/20","12.25",382,"ham","medium"
"19/08/20","12.25",385,"ham","medium"
"19/08/20","12.25",211,"ham","medium"
"19/08/20","12.25",289,"ham","medium"
"19/08/20","12.25",313,"ham","medium"
"19/08/20","12.25",325,"ham","medium"
"19/08/20","12.25",373,"ham","medium"
"19/08/20","12.25",411,"ham","medium"
"26/06/20","12.25",348,"ham","medium"
"26/06/20","12.25",349,"ham","medium"
"26/06/20","12.25",390,"ham","medium"
"26/06/20","12.25",406,"ham","medium"
"26/06/20","12.25",412,"ham","medium"
"26/06/20","12.25",416,"ham","medium"
"26/06/20","12.25",430,"ham","medium"
"26/06/20","12.25",433,"ham","medium"
"26/06/20","12.25",442,"ham","medium"
"26/06/20","12.25",452,"ham","medium"
"26/06/20","12.25",454,"ham","medium"
"26/06/20","12.25",357,"ham","medium"
"26/06/20","12.25",376,"ham","medium"
"02/12/18","12.5",345,"ham","medium"
"02/12/18","12.5",345,"ham","medium"
"02/12/18","12.5",347,"ham","medium"
"02/12/18","12.5",367,"ham","medium"
"02/12/18","12.5",363,"ham","medium"
"02/12/18","12.5",368,"ham","medium"
"02/12/18","12.5",388,"ham","medium"
"02/12/18","12.5",406,"ham","medium"
"02/12/18","12.5",417,"ham","medium"
"02/12/18","12.5",421,"ham","medium"
"2/13/2018","12.5",411,"ham","medium"
"2/13/2018","12.5",424,"ham","medium"
"2/13/2018","12.5",426,"ham","medium"
"2/13/2018","12.5",479,"ham","medium"
"2/13/2018","12.5",481,"ham","medium"
"2/13/2018","12.5",554,"ham","medium"
"03/05/18","12.5",349,"ham","medium"
"03/05/18","12.5",357,"ham","medium"
"03/05/18","12.5",355,"ham","medium"
"03/05/18","12.5",359,"ham","medium"
"03/05/18","12.5",373,"ham","medium"
"03/05/18","12.5",384,"ham","medium"
"03/05/18","12.5",392,"ham","medium"
"03/05/18","12.5",391,"ham","medium"
"03/05/18","12.5",396,"ham","medium"
"03/05/18","12.5",406,"ham","medium"
"03/05/18","12.5",430,"ham","medium"
"03/05/18","12.5",433,"ham","medium"
"04/12/19",13,157,"ham","medium"
"04/12/19",13,187,"ham","medium"
"04/12/19",13,188,"ham","medium"
"04/12/19",13,210,"ham","medium"
"04/12/19",13,215,"ham","medium"
